Year,Type,Content,Title,Description,Youtube,Url
1933,"Lee Garmes","Lee Garmes","Cinematography winner for Shanghai Express","","https://www.oscars.org/sites/oscars/files/5_highlight_cinematography_lee_garmes_0.jpg"
1933,"Hal Roach","Hal Roach","Short Film winner for The Music Box, with Stan Laurel and Oliver Hardy","","https://www.oscars.org/sites/oscars/files/5_highlight_short_film_hal_roach_presenters_stan_laurel_oliver_hardy.jpg"
1933,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/1932_iconic_borzage_hayes_march_2.jpg?itok=hj67Cffh
1934,"SOUND RECORDING","A Farewell to Arms","Franklin Hansen","","https://www.oscars.org/sites/oscars/files/6_hansen.jpg"
1934,"BEST ACTOR","The Private Life of Henry VIII","Charles Laughton arriving with wife Elsa Lanchester","","https://www.oscars.org/sites/oscars/files/1933_actor_laughton.jpg"
1934,"CINEMATOGRAPHY","A Farewell to Arms","Charles Bryant Lang, Jr.","","https://www.oscars.org/sites/oscars/files/6_highlight_cinematography_charles_lang_jr_0.jpg"
1934,"Franklin Hansen, Will Rogers, and Frank Lloyd","Franklin Hansen, Will Rogers, and Frank Lloyd","At the 6th Academy Awards ceremony","","https://www.oscars.org/sites/oscars/files/6_LARGE_MEM_iconic.jpg"
1934,"Frank Capra","Frank Capra","Best Directing nominee for Lady for a Day","","https://www.oscars.org/sites/oscars/files/6_capra_0.jpg"
1934,"Frank Lloyd","Frank Lloyd","Best Directing winner for Cavalcade","","https://www.oscars.org/sites/oscars/files/6_memorable_director_frank_lloyd.jpg"
1934,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/1933_iconic_2.jpg?itok=BJQPyoNN
1935,"SPECIAL AWARD","Bright Eyes","Shirley Temple, with Irvin S. Cobb","","https://www.oscars.org/sites/oscars/files/1934_temple_cobb.jpg"
1935,"BEST DIRECTING","It Happened One Night","Frank Capra","","https://www.oscars.org/sites/oscars/files/7_LARGE_MEM_director_capra.jpg"
1935,"BEST ACTOR","It Happened One Night","Clark Gable","","https://www.oscars.org/sites/oscars/files/7_memorable_actor_clark_gable_0.jpg"
1935,"Arthur Caesar","Arthur Caesar","Writing (Original Story) winner for Manhattan Melodrama","","https://www.oscars.org/sites/oscars/files/7_highlight_writing_arthur_caesar_0.jpg"
1935,"Claudette Colbert","Claudette Colbert","Best Actress winner for It Happened One Night, with presenter Shirley Temple","","https://www.oscars.org/sites/oscars/files/7_Memorable_Moment_shirley_temple_claudette_colbert.jpg"
1935,"Jeanette MacDonald and Louis B. Mayer","Jeanette MacDonald and Louis B. Mayer","At the Academy Awards banquet","","https://www.oscars.org/sites/oscars/files/7_highlight_jeanette_macdonald_louis_b_mayer_0.jpg"
1935,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/1934_iconic_colbert_gabel_2.jpg?itok=LibSabhc
1936,"SHORT SUBJECT (COMEDY)","How To Sleep","Jack Chertok","","https://www.oscars.org/sites/oscars/files/8_chertok.jpg"
1936,"BEST ACTRESS","Dangerous","Bette Davis","","https://www.oscars.org/sites/oscars/files/8_Memorable_Moment_actress_bette_davis.jpg"
